text,l1,l2,l3
"Liu Chao-shiuan (Chinese: å?‰å…†ç?„; pinyin: LiÃº ZhÃ oxuÃ¡n; born May 10, 1943) is a Taiwanese educator and politician. He is a former president of the National Tsing Hua University (1987â€“1993) and Soochow University (2004â€“2008) and a former Premier of the Republic of China (2008â€“2009).",Agent,Politician,PrimeMinister
"Michelle Maylene (born January 20, 1987) is an actress, adult model, and former adult film star.",Agent,Actor,AdultActor
HirfanlÄ± Dam is a dam in Turkey. The development was backed by the Turkish State Hydraulic Works. It was built by Wimpey Construction and was completed in 1959.,Place,Infrastructure,Dam
"Grote Prijs Stad Zottegem is a single-day road bicycle race held annually in August in Zottegem, Belgium. Since 2005, the race is organized as a 1.1 event on the UCI Europe Tour. The race started out as 'Dokter Tistaertprijs' in 1934. Between 1971 and 1998 it was called 'Herinneringsprijs Dokter Tistaert - Prijs Groot-Zottegem'. In 1999 it changed to 'G.P. Zottegem - Tistaertprijs' and since 2002 it has the current name.",Event,Race,CyclingRace
"Johannes Petrus \""Hans\"" Nijman (September 23, 1959 â€“ November 5, 2014) was a Dutch former professional mixed martial artist and professional wrestler. He competed in the heavyweight division. He was a RINGS Holland veteran and fought for many other top promotions such as Pride FC and It's Showtime. Nijman is believed to have had connections with Willem Holleeder and other big names in the Dutch criminal underworld. His name appeared in several police records and has also been used in big court cases.",Agent,Athlete,MartialArtist
"(Blooper) Bunny is an eight-minute Merrie Melodies cartoon directed by Greg Ford and Terry Lennon, with music by George Daugherty, produced in 1991 by Warner Bros. Animation. Featuring the voice talents of Jeff Bergman and Gordon Hunt, the short is a parody of some of the specials produced for Bugs Bunny's 50th anniversary the previous year. The short never received its intended theatrical release and was shelved for several years. It was finally given a television premiere on June 13, 1997, after Cartoon Network discovered the film sitting unseen in the vaults. It is featured on the Looney Tunes Golden Collection: Volume 1 as of 2003.",Work,Cartoon,HollywoodCartoon
"Brekke Church (Norwegian: Brekke kyrkje) is a parish church in Gulen Municipality in Sogn og Fjordane county, Norway. It is located in the village of Brekke. The church is part of the Brekke parish in the Nordhordland deanery in the Diocese of BjÃ¸rgvin. The white, wooden church, which has 390 seats, was consecrated on 19 November 1862 by the local Dean Thomas Erichsen. The architect Christian Henrik Grosch made the designs for the church, which is the third church on the site.",Place,Building,HistoricBuilding
"The 2013â€“14 St. Bonaventure Bonnies men's basketball team represented St. Bonaventure University during the 2013â€“14 NCAA Division I men's basketball season. The Bonnies, led by seventh year head coach Mark Schmidt, played their home games at the Reilly Center and were members of the Atlantic 10 Conference. They finished the season 18â€“15, 6â€“10 in A-10 play to finish in ninth place. They advanced to the semifinals of the A-10 Tournament where they lost to Saint Joseph's. Despite an overall winning record that included an upset over top-ranked Saint Louis in the A-10 tournament quarterfinals, the Bonnies were not invited to a postseason bid due to an inability to come to an agreement with the College Basketball Invitational.",SportsSeason,SportsTeamSeason,NCAATeamSeason
"The Wildman River is a river in the Darwin Coastal bioregion of the Northern Territory, Australia.",Place,Stream,River
"The T.G. Smith Centre is an ice hockey complex in Steinbach, Manitoba. It features two indoor arenas and one outdoor ice rink. The older part of the complex, the Centennial Arena, opened in 1967 and has a capacity of about 1,250. A second indoor rink was added in the mid-1990s, after which the entire complex was named after the late T.G. Smith, a local banker and strong supporter of local sports. The second rink was named the T.G. Smith Arena and has a capacity of approximately 300. The T.G. Smith Centre has been the home of the Steinbach Pistons of the Manitoba Junior Hockey League since 2009. It is also the longtime home of the Steinbach Huskies junior and senior hockey teams, as well as the community's minor hockey, ringette, and figure skating programs. The Steinbach arena is a hub for Senior 'AAA' hockey in Manitoba. From 2007 to 2010, the arena was home to the Steinbach North Stars, who hosted the 2009 Allan Cup in Steinbach. Since 2006, the South East Prairie Thunder have played the majority of their home games in Steinbach, having won two national championships and hosted the 2016 Allan Cup in Steinbach. In international hockey, the T.G. Smith Centre hosted the ninth place game of the 2002 World Under-17 Hockey Challenge, in which Germany defeated Finland. Aside from hockey, the complex has hosted two Manitoba Provincial Curling Championships (2006, 2010). The Centennial Arena's capacity can be increased to 1,600 for curling. In June 2012, the Steinbach city council began planning the construction of new recreational facilities for the city. The first phase of the project, a movie theatre and the new Steinbach Curling Club attached to the T.G. Smith Centre, opened in October 2014.",Place,SportFacility,Stadium
"Royal Rumble (2004) was the seventeenth annual Royal Rumble professional wrestling pay-per-view event produced by World Wrestling Entertainment (WWE). It was presented by Sony's PlayStation 2, took place on January 25, 2004, at the Wachovia Center in Philadelphia, Pennsylvania and featured talent from the Raw and SmackDown! brands. As has been customary since 1993, the Royal Rumble match winner received a match at that year's WrestleMania, in this instance WrestleMania XX. Beginning with this Royal Rumble, the winner could challenge at WrestleMania his choice of either the WWE Championship or the World Heavyweight Championship. Six professional wrestling matches were featured on the event's supercard, a scheduling of more than one main event. The main event was the annual 30-man Royal Rumble match, which featured wrestlers from both brands. Chris Benoit, the first entrant, won the match by last eliminating The Big Show, the twenty-fourth entrant. This win resulted in Benoit breaking the longevity record last held by Bob Backlund, staying in the match for over one hour. The primary match on the Raw brand was a Last Man Standing match between Triple H and Shawn Michaels for the World Heavyweight Championship, which ended in a draw. The predominant match on the SmackDown! brand was Brock Lesnar versus Hardcore Holly for the WWE Championship, which Lesnar won to retain the championship. The featured match on the undercard was a Tables match for the World Tag Team Championship between Evolution (Ric Flair and Batista) and the Dudley Boyz (Bubba Ray and D-Von), which Evolution won to retain the titles.",Event,SportsEvent,WrestlingEvent
"NGC 38 (also known as MCG-1-1-47, Stephan XII, or PGC 818) is a spiral galaxy in the constellation Pisces. It was discovered in 1881.",Place,CelestialBody,Galaxy
"The Filobasidiales are an order in the fungal class Tremellomycetes. The one family in the order, the Filobasidiaceae, contains four species. They are distinguished from other tremelloid species by the lack of a macroscopic basidiocarp. One species of the family seems to be interesting for biotechnological applications. Filobasidium floriforme shows an ability to produce lipases which could be used in biofuel production.",Species,Eukaryote,Fungus
"Pizza Port Brewing Company is a brewpub with five locations in Southern California: Solana Beach, two in Carlsbad (Downtown and Bressi Ranch), Ocean Beach and San Clemente. A former Pizza Port location in San Marcos spun out of Pizza Port in 2006 and is now an independent operation, the Port Brewing Company / Lost Abbey brewery. It has received multiple awards, including \""Small Brewpub of the Year\"" for both 2003 and 2004 by the Great American Beer Festival and six awards for its beers at the World Beer Cup.",Agent,Company,Brewery
"The Colocalization Benchmark Source (CBS) is a free collection of downloadable images to test and validate the degree of colocalization of markers in any fluorescence microscopy studies. Colocalization is a visual phenomenon when two molecules of interest are associated with the same structures in the cells and potentially share common functional characteristics. CBS provides researchers with reference tools to verify the results of quantitative colocalization measurements. It serves as a specialised bioimage informatics database of computer-simulated images with exactly known (pre-defined) values of colocalization. They were created using image simulation algorithm. These benchmark images can be downloaded as sets as well as separately. By calculating and comparing the values of coefficients on their images versus benchmark images, researchers can validate the results of quantitative colocalization studies. The use of CBS images was described in a number of studies.",Work,Database,BiologicalDatabase
"Jimmy is a musical with a score by Bill Jacob, lyrics by Patti Jacob and a book by Melville Shavelson and Morrie Ryskind. The musical describes the rise and fall of New York City Mayor Jimmy Walker, whose career was marred by corruption it was a romanticized version of Walker's tenure as mayor as presented in the 1957 film Beau James, starring Bob Hope. The film was based on a biography of Walker, also titled Beau James, written by Gene Fowler. Jimmy had a brief Broadway run from October 1969 to January 1970, starring Frank Gorshin as Walker, Anita Gillette as Betty Compton and Julie Wilson . The original Broadway production was produced by Jack L Warner and Don Saxon and directed by Joseph Anthony.",Work,MusicalWork,Musical
"JosÃ© Irigoyen (??-??) was an eighteenth century administrator. He was appointed Spanish acting governor of Texas in 1798, but he never assumed the position.",Agent,Politician,Governor
"Bryan Bartlett \""Bart\"" Starr (born January 9, 1934) is a former professional American football player and coach. He played quarterback for the Green Bay Packers of the National Football League (NFL) from 1956 through 1971. Starr is the only quarterback in NFL history to lead a team to five league championships (1961â€“62, 1965â€“67), as well as Super Bowls I and II. As the Packers' head coach, he was less successful, compiling a 52â€“76â€“3 (.408) record from 1975 through 1983. Starr was named the Most Valuable Player of the first two Super Bowls and earned four Pro Bowl selections. He was inducted into the Pro Football Hall of Fame and the Packers Hall of Fame in 1977. He won the league MVP award in 1966. Starr has the highest playoff passer rating (104.8) of any quarterback in NFL history and a playoff record of 9â€“1. His career completion percentage of 57.4 was an NFL best when he retired in 1972. Starr also held the Packers' franchise record for games played (196) for 32 years, through the 2003 season. Starr played college football at the University of Alabama and was selected by the Green Bay Packers in the 17th round of the 1956 NFL draft (200th overall).",Agent,GridironFootballPlayer,AmericanFootballPlayer
"The Broadway Malady is a short animated film distributed by Columbia Pictures, and stars Krazy Kat. The title is derived from the 1929 feature film The Broadway Melody. The cartoon, however, makes no references to the feature film.",Work,Cartoon,HollywoodCartoon
"The 1992 United States presidential election in Colorado took place on November 3, 1992, as part of the 1992 United States presidential election. Voters chose eight representatives, or electors to the Electoral College, who voted for President and Vice President. Colorado was won by the Democratic nominees, Governor Bill Clinton of Arkansas and his running mate Senator Al Gore of Tennessee. Clinton and Gore defeated the Republican nominees, incumbent President George H.W. Bush of Texas and Senator Dan Quayle of Indiana. Independent businessman Ross Perot of Texas, and his running mate Navy Vice Admiral James Stockdale, finished in a relatively strong third in the state. Clinton received 40.13% of the vote to Bush's 35.87%, a Democratic victory margin of 4.26%. Ross Perot performed relatively well for a third party candidate in the state, receiving 23.32% of the vote in Colorado, exceeding his nationwide 18.91% vote share. Perot also won pluralities of the vote in Moffat County and San Juan County, the state providing Perot two county victories out of only 14 counties which Perot won nationwide. Clinton ultimately won the national vote, defeating incumbent President Bush. Clinton's victory marked the first time since the nationwide Democratic landslide of 1964 that Colorado had voted Democratic, and his win signified Colorado's transition from a traditionally Republican state into a competitive swing state in modern elections. Colorado had not previously voted Democratic in a close national election since 1948. Clinton would then very narrowly lose the state in the 1996 election to Bob Dole.",Event,SocietalEvent,Election
"The 2001â€“02 season was the 103rd season of competitive league football in the history of English football club Wolverhampton Wanderers. They played the season in the second tier of the English football system, the Football League First Division. The season proved a notable disappointment for the club after being denied promotion in the play-offs. The team had sat in the automatic promotion spots for the majority of the campaign, but a late slump in form saw local rivals West Bromwich Albion pip them to second place. Defeat to Norwich City in the semi-finals then ended their hopes of returning to the top flight for the first time since 1984. The club had spent in excess of Â£11 million before and during the season to try and achieve promotion, in this, manager Dave Jones' first full season in charge.",SportsSeason,SportsTeamSeason,SoccerClubSeason
"Euriphene schultzei, Schultzeâ€™s Nymph, is a butterfly in the Nymphalidae family. It is found in Cameroon and the Central African Republic. The habitat consists of forests.",Species,Animal,Insect
"Novotel Century Hong Kong (Chinese: ä¸–ç´€é?™æ¸¯é…’åº—) is a 4-star hotel in Hong Kong. It is located at 238 Jaffe Road, at the junction of Jaffe Road and Steward Road in Wan Chai. Novotel Century Hong Kong is a convention and business hotel located close to the Hong Kong Convention and Exhibition Centre. It is equipped with business and meeting facilities, three restaurants, a bar, health club, swimming pool, sauna and a range of leisure facilities.",Place,Building,Hotel
"Timescape Books was a science fiction line from Pocket Books operating from 1981 to 1985. Pocket Books is an imprint of Simon & Schuster It was named after the Gregory Benford novel Timescape, which was not published by the Timescape imprint. The imprint was founded by David G. Hartwell. It published both original hardcover and reprinted mass market paperback novels. Many of the imprint's titles were nominees or winners of Hugo and Nebula awards, along with other major SF awards. It published more than 30 original hardcover works and over 100 paperback titles, but the imprint was not financially successful enough for the parent company at the time, as it was not producing major bestsellers.",Agent,Company,Publisher
"Gene Ha is an American comics artist and writer best known for his work on books such as Top 10 and Top 10: The Forty-Niners, with Alan Moore and Zander Cannon, for America's Best Comics, the Batman graphic novel Fortunate Son, with Gerard Jones, and The Adventures of Cyclops and Phoenix, among others. He has also drawn Global Frequency and has drawn covers for Wizard and Marvel Comics. He was awarded the 1994 Russ Manning Most Promising Newcomer Award, and won four Eisner Awards, in 2000, 2001, 2006, and 2008.",Agent,Artist,ComicsCreator
"The Phalangodidae are a family of harvestmen with about 20 genera and more than 100 described species, distributed in the Holarctic region. It is not to be confused with the harvestman family Phalangiidae, which is in the suborder Eupnoi.",Species,Animal,Arachnid
Robert Forster-Knight was an Australian rules footballer. He was drafted by the Essendon Football Club in the 1999 National draft at pick 72 in the fifth round. He played 31 games with Essendon before being delisted after the 2003 season. Port Adelaide picked him at pick 39 of the 2003 National draft but he did not play any senior games for Port and was delisted after the 2004 season.,Agent,Athlete,AustralianRulesFootballPlayer
"WEC 42: Torres vs. Bowles was a mixed martial arts event held by World Extreme Cagefighting on August 9, 2009 at the Hard Rock Hotel and Casino in Las Vegas, Nevada",Event,SportsEvent,MixedMartialArtsEvent
"The inaugural Singapore League Cup was held in 2007. The tournament was held before the start of the S.League season that year. Prior to this tournament, there is another tournament with the same name that was held until in 1997 where the Singapore Armed Forces had defeated Geylang United by 1-0 in the final. However that old Singapore League Cup was subsequently renamed into present Singapore Cup and evolved to be the major cup competition in Singapore football. In recent years, invitational foreign teams participated in the Singapore Cup along with the local clubs. The League Cup, however, is solely reserved for domestic clubs. The 2007 competition was sponsored by SingTel, and officially titled the SingTel League Cup. A direct knockout format was used, with the first round being the quarter-final stage as only eight out of the twelve S.League teams participated in the competition. The 4 teams who withdrew due to prior pre-season commitments were: \n*  23x Geylang United \n*  23x Liaoning Guangyuan FC \n*  23x SAFFC \n*  23x Young Lions The winners received a prize of S$20,000 with the runners-up and second runners-up taking home S$10,000 and S$5,000 respectively. Woodlands Wellington defeated Sengkang Punggol 4-0 in the final to win the first Singapore League Cup. Gombak United defeated Home United in the third-place match 9-8 on penalties following a 1-1 draw.",Event,Tournament,SoccerTournament
"Norman Guy Von Nida (14 February 1914 â€“ 20 May 2007) was an Australian professional golfer. Von Nida was born in Strathfield and grew up in Brisbane. He turned professional in 1933, after attracting attention by winning the Queensland Amateur aged just 18. He became one of Australia's finest professional golfers, and the first Australian to win regularly on the British tour, although World War II certainly deprived him of competition during what might have been his peak years. In 1946 he travelled to Britain for the first time and finished second on the Order of Merit; in 1947, he returned and won seven tournaments and topped the Order of Merit. He was renowned for his short temper - at a tournament in 1948 he became involved in an argument with future U.S. Ryder Cup player Henry Ransom that resulted in the local sheriff having to pull them apart, and he was also known to hurl his putter into the undergrowth after missing putts, on occasions breaking or even losing them mid-round. The PGA Tour of Australasia's developmental tour is named the Von Nida Tour after him. Von Nida died in a Gold Coast, Queensland nursing home, aged 93.",Agent,Athlete,GolfPlayer
"W25CP was a low-power television station licensed to Valdosta, Georgia. It was a repeater that broadcast programming from the Trinity Broadcasting Network, via satellite. The station broadcast on UHF channel 25, with no digital signal currently on-the-air. On March 16, 2006, the station was granted a construction permit to begin converting operations to digital television. Upon completion, the station was to have broadcast at 15 kW. TBN took W25CP silent April 1, 2010, due to declining support, which has been attributed to the digital transition. Its license, along with 43 other silent TBN repeaters, was canceled on December 1, 2011, for remaining silent over a year.",Agent,Broadcaster,TelevisionStation
"Willy Nilly is a comic strip in The Beezer and BeanoMAX about a boy with wandering feet. The strip first appeared in around 1993, and continued in the later Beezer annuals. The strip was brought back in 2011 in BeanoMAX with more modern stuff in it. The strip was drawn by David Sutherland in this version.",Work,Comic,ComicStrip
"Hugh Conn McCall, usually known by his middle name (29 March 1940 in Holywood, County Down, Northern Ireland â€“ 7 June 2002 in Bangor, County Down) was an Irish cricketer. A right-handed batsman and left-arm orthodox spin bowler, he played 15 times for the Ireland cricket team in the 1960s including seven first-class matches. His son Mark played rugby union for Ireland.",Agent,Athlete,Cricketer
"KBIA (91.3 FM), is a National Public Radio-member station in Columbia, Missouri. It carries regional news coverage, locally produced news shows, original talk shows, as well as NPR news programs including All Things Considered and Morning Edition. The station is owned by the University of Missouri, and operates its own independent newsroom. The stations hosts Broadcast and Radio students from the Missouri School of Journalism. Its studios are on the fourth floor of Jesse Hall and its transmitter is co-located with KOMU-TV. KBIA also broadcasts three HD Radio services: KBIA2, which airs classical music when the main KBIA signal airs news, and vice versa; and KBIA3, which airs an AAA format. In November 2014, KBIA announced it was buying KWWC-FM (90.5) from neighboring Stephens College. When the sale is completed, the classical music format heard weekdays on KBIA was moved to KMUC 90.5, while KBIA transitioned into a news/talk/information station similar to sister stations KCUR-FM Kansas City and KWMU St. Louis. KBIA also operates satellite stations KKTR 89.7 in Kirksville (owned by Truman State University), and KAUD 90.5 in Mexico, Missouri.",Agent,Broadcaster,RadioStation
"The 2008 Pennsylvania Republican primary was an election held on April 22 by the Pennsylvania Department of State in which voters chose their preference for the Republican Party's candidate for the 2008 U.S. Presidential election. Voters also chose the Pennsylvania Republican Party's candidates for various state and local offices. The selected candidates were placed on the ballot of the 2008 General Election on November 4, 2008. The Republican primary was part of a General Primary that also included the 2008 Pennsylvania Democratic primary. Polls opened at 7:00 am and closed at 8:00 pm. John McCain was the winner. He had already been declared the presumptive Republican Presidential nominee, having secured enough delegate votes in earlier primary contests to win the nomination at the 2008 Republican National Convention.",Event,SocietalEvent,Election
Graham Richard James (born 19 January 1951) is an English Anglican bishop. He is the current Bishop of Norwich and Abbot of St Benet's Abbey.,Agent,Cleric,ChristianBishop
"Martin B. Kelner is a British journalist, author, comedian, singer, actor and radio presenter.",Agent,Presenter,RadioHost
"The Otago Nuggets were a New Zealand professional men's basketball team that played in the National Basketball League (NBL). They played their home games at the Edgar Centre in Dunedin, Otago. The Nuggets did not see much success upon entering the NBL in 1990. They made the NBL playoffs just four times, and pulled out of the competition in 2009 and 2015 due to financial constraints.",Agent,SportsTeam,BasketballTeam
"The 2013 OFC Champions League Final was the final of the 2012â€“13 OFC Champions League, the 12th edition of the Oceania Cup, Oceania's premier club football tournament organized by the Oceania Football Confederation (OFC), and the 7th season under the current OFC Champions League name. The final was contested between two New Zealand teams, Waitakere United and Auckland City, at Arena 2 of Mount Smart Stadium in Auckland, New Zealand, on 19 May 2013. The winner earned the right to represent the OFC at the 2013 FIFA Club World Cup, entering at the qualifying play-off round. Auckland City won the final 2â€“1.",Event,SportsEvent,FootballMatch
