id,comment_text,Action,Adult,Adventure,Animation,Biography,Comedy
"""#7DaysLater"" (2013)",dayslater interactive comedy series feature ensemble cast youtube celebrities week audience write brief via social media new episode feature well know guest star days later weeks episode premier tv multiple platforms,0,0,0,0,0,1
"""#BlackLove"" (2015) {Crash the Party (#1.9)}",week leave workshops women consider idea ladies stun jahmil finally come decision bentley hes jack challenge tennesha express feel love towards errol put face possible rejection,0,0,0,0,0,0
"""#BlackLove"" (2015) {Making Lemonade Out of Lemons (#1.2)}",women start make stride towards find version happy end tennesha errol decide become exclusive laree isnt ready tell karl love even though express sentiment cynthia find hard venture tumultuous separation monet finally find peace divorce decide throw freedom party celebrate,0,0,0,0,0,0
"""#BlackLove"" (2015) {Miss Independent (#1.5)}",women independent strong theyve face strife relationships past present jamils second date nneka nneka share want commit relationship leave jahmil difficult position jack drop bomb monet make realize look date life wrong tennesha ready introduce ladies errol housewarming party nervousness lead control nature come reign drive errol away,0,0,0,0,0,0
"""#BlackLove"" (2015) {Sealing the Deal (#1.10)}",despite go life change process past weeks women still issue resolve week order get love live check monet realize final piece let go,0,0,0,0,0,0
"""#Cake"" (2015)",cake hour long serial narrative comedy manhunt high price assassin murder digital currency bitcoin detectives track enthuse entrepreneur run bitcoin mine operation perfect world want money power want power create money,0,0,0,0,0,1
"""#CandidlyNicole"" (2013) {What's My Sports Vibe (#2.19)}",youre marry sport nut sometimes help know little favorite team like instance sport team play nicole set learn everything know every single sport sit,0,0,0,0,0,0
"""#Elmira"" (2014)",elmira follow story bunch strangers respond craigslist ad look roommates share rent upon arrival apartment lot smaller anticipate flat overpopulate fictional apartment build elmira locate fictional street elmira reside city elmira apartment rent gang campy gay marry couple always seem show unannounced inopportune time make matter worse apartment sit noisy bar drag bar call drag hag center confusion character,0,0,0,0,0,1
"""#Hashtag: The Series"" (2013)",friend follow like fall hashtag follow love live technology obsess best friends chicago instagram seduction inappropriate selfies twitter share okcupid date liv skylar learn real life consequences indulgence virtual world,0,0,0,0,0,1
"""#LawstinWoods"" (2013)",lawstinwoods follow story strangers take live place woods call lawstin woods mysterious name woods happen parallel misfortune lose woods trap mystical forest struggle get answer fight stay alive small group people claim residents lawstin woods taunt whore lose never give gang answer instead appear simply toy,0,0,0,0,0,0
"""#LawstinWoods"" (2013) {The Case of the Twins (#1.2)}",guy wake unfamiliar woods come girl claim wake woods zombie type thing wear wed dress chase unknown captives people appear know whats go discuss whether tell captives something,0,0,0,0,0,0
"""#LawstinWoods"" (2013) {The Happening (#1.3)}",gang discuss shock realize identical twin didnt know prior wake woods gang find gun bury grind discuss meanwhile kenny rogers talk someone phone want extract,0,0,0,0,0,0
"""#MonologueWars"" (2014)",monologue war pit side ensemble friendly mostly contest help audience first monologue choose competitor give week learn rehearse film fun begin october th competitors vie highest number like video,0,0,0,0,0,0
"""#NotMadMonday"" (2015)",notmadmonday new fast pace talk show star unlikely bffs brian patacca chelsea london lloyd hes shes bitch theyloveit draw close friendship disparity age show take irreverence whole new level co host confront online date serioustalk technological dis advancements madden etiquette wedont,0,0,0,0,0,1
"""#SmurTv"" (2016)",sketch comedy creators online series swaggapuss get job show host character swaggapuss hit streets ask people smur mean ramon r l terry malik sims grow cast others team pure randomness sketch comedy,0,0,0,0,0,1
"""#SpongeyLeaks"" (2016)",trevors aunt barbara eyster live multiple sclerosis provide live caregiver pay help care day day life november trevor receive email barbara state evict days remove property house trevor arrive help shock condition barbara house immediately move help care day thanksgiving trevor return aunts home argument caregiver aunt multiple call make caregiver refuse leave call caregiver falsely claim threaten load gun police arrive trevor arrest trevor post bail charge later drop trevor realize need get truth raise awareness aunts situation elder dependent abuse whole december first spongeyleaks video release show public go behind close doors aunts house release follow look detail lead events well happen days since events november,0,0,0,0,1,0
"""#TanCosmo"" (2014)",monica fonseca colombian host help create style make edgy newest trend become popular fashion health beauty eco tech design travel trend get first youll able know creative people force behind thus stand crowd,0,0,0,0,0,0
"""#VanLifeAttila"" (2016) {An Ideal Life (#3.5)}",attila talk emotions future depression media affect reactions situations give advice people try different things life order find fit might everything want try something new realize good must try cause want didnt know try something else,0,0,1,0,1,1
"""#mykpop"" (2013)",global phenomenon k pop wave live fanatics world social media individual stories fan show k pop impact daily live culminate journey north americas biggest k pop convention concert kcon,0,0,0,0,0,0
"""#mykpop"" (2013) {(#1.2)}",k pop grow check mnet americas newest docu reality show follow k pop fan unite state share love k pop get together kcon share behind scenes look world k pop share experience show love k pop bring people together,0,0,0,0,0,0
"""#mykpop"" (2013) {(#1.4)}",k pop grow check mnet americas newest docu reality show follow k pop fan unite state share love k pop get together kcon share behind scenes look world k pop share experience show love k pop bring people together,0,0,0,0,0,0
"""$#*! My Dad Says"" (2010) {Code Ed (#1.4)}",henry ask girl date say yes condition bring father along could fix aunt ed aunt hit even make plan another date henry leave table date tell aunt shes feel aunt tell suck cause want go ed ed upon learn want tell henry vince convince might able handle rejection go next date henry try impress ed try keep make fool without tell feel,0,0,0,0,0,1
"""$#*! My Dad Says"" (2010) {Easy, Writer (#1.6)}",henry go job interview give ideas man interview doesnt like ed call interview go hear conversation henry father learn henry go live father lose job man interview henry think could good article ed learn henry want quash doesnt want ridicule henry say already turn vince bonnie befriend another realtor couple suppose best regret,0,0,0,0,0,1
"""$#*! My Dad Says"" (2010) {Make a Wish (#1.9)}",life coach whose motto want see happen call wish ed think shes try pull fast especially vince bonnie attend seminars decide quit job could start realtor business problem start ed learn henry go seminar write article go woman pull ed talk ed skeptical think convince shes real wish work,0,0,0,0,0,1
"""$#*! My Dad Says"" (2010) {The Better Father (#1.13)}",vince bonnie learn marriage legal plan get marry bonnie ask dad come ed keen last wed instead wed father gamble fell hole ed bail bonnie say hes change ed doesnt believe,0,0,0,0,0,1
"""$#*! My Dad Says"" (2010) {The Truth About Dads & Moms (#1.3)}",ed henry go restaurant waiter claim ed get fire last job refuse serve apologize henry take man side ed refuse later ed try go incognito man still recognize still refuse serve manager upon see situation side ed fire man henry learn happen tell ed typical behavior ed ask hes talk henry say never apologize mother cheat,0,0,0,0,0,1
"""$#*! My Dad Says"" (2010) {Who's Your Daddy? (#1.18)}",girl contact henry say like column go meet ed say things ed find peculiar make ed wonder tie vince bonnie go reality show hop help business eds status change confuse meet henrys new facebook girlfriend sense strange connection bonnie vince join reality television series help reality star go house hunt,0,0,0,0,0,1
"""$100,000 Name That Tune"" (1984)",update version popular long run quiz show host jim lange contestants compete see greater knowledge popular songs music play first contestant name song win money prize additional challenge include contestants bid note need order name tune contestants compete series musical identification game day week update name tune game include melody roulette host lange spin carnival wheel determine dollar value tune tune topics songs title relate famous bid note contestants give clue song bid downward determine note need name tune note contestants win point win round high scorer round champion move golden medley golden medley champion identify tune second prize award correct answer incorrect guess stop game name tune win additional prize package right return tournament take place every weeks cash prize prize offer tournament winners award individually winners home viewer contest,0,0,0,0,0,0
"""$25 Million Dollar Hoax"" (2004)",episode reality series woman convince family win lottery money turn nice girl selfish shopaholic prank successful family really win large prize fail family get nothing,0,0,0,0,0,0
"""$9.99"" (2003)",fun new york city say fuhgetaboutit let host julie laipply brian mcmullan maryam basir rich collier show inexpensive free things boroughs every episode whirlwind tour new york citys unique neighborhoods visit park museums restaurants galleries whole host interest attractions cost little money show reveal adventure combine cost never top whether youre watch new york new jersey connecticut satellite cable dont miss next adventure,0,0,1,0,0,0
"""$weepstake$"" (1979) {(#1.1)}",weeks ticker buyers man get jail probation need try find legitimate job woman whos separate husband girlfriend dog whose owners relatives try get piece win,0,0,0,0,0,0
"""'Allo 'Allo!"" (1982) {A Bun in the Oven (#8.0)}",years elapse september airmen escape england bertorelli italian troop withdraw renes hop peace quiet dash yvette announce pregnancy war seem turn germany von klinkerhoffen consider assassinate hitler gruber von strohm hope sell original paint sell flee spain get helga steal ensure cut sale go ahead remove fall madonnas boobies insurance,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {A Fistful of Francs (#8.6)}",colonel von strohm gruber agree pay ransom resistance order pay via dogfish put million francs dogfish go river dogfish exchange incriminate photo dogfish doesnt end hand resistance colonel gruber still dont photo meanwhile general von klinkerhoffen order gruber colonel von strohm dress hitler gore pretend leave town plan catch resistance group try attack,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {A Quiet Honeymoon (#7.1)}",general von klinkerhoffen hospital general von flockenstuffen command want redecorate von strohms office doesnt make popular von strohm helga bertorelli gruber like get help redecoration meanwhile madame fanny ernest leclerc arrest steal motor bike smash german road block herr flick think old couple might information british airmen order von smallhausen commit minor crime arrest put cell order find know,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {A Woman Never Lies (#8.2)}",michelle set blackmail gruber discover photo paint von strohm hold german pay truck hush money flick find helga give truth drug von smallhausen arrive late prevent robbery arrest von klinkerhoffen perpetrators rene meanwhile make first propaganda broadcast,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {An Almighty Bang (#7.2)}",edith rene manage free madame fanny leclerc hide fold bed wall upstairs cafe become literally embed wall bed get stick alphonse decide use dynamite shift total success blow gestapo officer come interrogate old couple gruber come say pardon von fluckenstuffens plan kidnap hitler go well officer learn part suicide squad von fluckenstuffen get drink demand inspect renes cellar accuse keep back best win guide way light candle reality stick dynamite explode give nervous breakdown thus change place von klinkerhoffen fruitcake ward rene recommend medal,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Awful Wedded Wife (#8.4)}",gruber worry compromise photo paint fall madonna big boobies resistance colonel decide make payment ransom demand helga still try rescue herr flick von smallhausen use another disguise meanwhile lead need battery mobile radio station yvette mimi officer crabtree monsieur alphonse go church disguise steal lead roof gruber colonel play hitler gore end capture communist resistance,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Christmas Puddings (#5.19)}",resistance find germans plan commandeer pudding factory resistance hide kilo explosives land mine dont want germans explosives kilo bring cafe rene disguise christmas puddings meanwhile general von klinkerhoffen order colonel von strohm gruber find steal land mine herr flick von smallhausen disguise try spy back room cafe rene local church,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Criminal Developments (#5.3)}",rene manage photograph safe grubers room leclerc believe blow open alphonse tell edith renes affair yvette believe denial von klinkerhoffen take fancy helga private dinner room flick von smallhausen pose gypsy violinists serenade order learn whether general intend kill hitler smoke bomb drop grubers chimney cause diversion allow rene leclerc come open safe mistake smoke bomb throw general chimney instead call fire brigade,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Desperate Doings in the Graveyard (#6.1)}",rene prepare visit empty grave fake dead twin brother tell michelle go resistance build communication center grave able contact london since germans jam original radio station gruber still fact shoot renes twin brother decide find rene go grave go grave along helga meanwhile herr flick von smallhausen plan find headquarter resistance disguise shoot british airmen expect take headquarter without trouble madame fanny find new love ernest leclerc brother roger leclerc,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Enigma's End (#5.26)}",general von klinkerhoffen order rene shoot enigma machine isnt find think might warn rene colonel von strohm order gruber take uniform wont leave von strohms office nevertheless gruber take helgas uniform go rene meanwhile british intelligence resistance think plan get experts nouvion look enigma machine disguise policemen,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Feathers (#5.17)}",herr flick tell helga steal gestapo money false tell colonel tell bertorelli get back rene bertorelli doesnt know von strohm anonymously call herr flick say man feather hat steal money way cafe rene michelle new plan get british airmen back england theyll put empty land mine drop england need unscrew nut land safely use parachute parachute bring monsieur leclerq wholl disguise pillow stuffer meanwhile communist girls leave cafe rene,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Firing Squashed (#8.5)}",gruber colonel still disguise hitler gore still hold communist resistance michelle find like communists doesnt know really hitler gore decide kidnap french resistance get honor end war meanwhile herr flick von smallhausen face fire squad rob german pay truck,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Flight of Fancy (#3.4)}",rene successfully get paint back michelle concentrate plan get airmen away ancient aeroplane draw car catapult air require rene steal metres mens brace guise brotherhood night owl flick helga aware something afoot turn staff car flatten runaway steam roller miss see fail escape plane fail take rene fling air,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Good Staff Are Hard to Find (#4.3)}",replace maria michelle bring mimi labonq tiny tenacious vow renes bodyguard fanatical rene stop poison flick new radio bring cafe roger leclerc coincide arrival geerings replacement italian captain bertorelli almost fall victim mimi misunderstand invitation go upstairs look paint,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Herr Flick's Revenge (#2.6)}",michelle save renes skin reputation tell alphonse heroic member resistance alphonse thus much respect kill rene drag get attention gruber flick imprison von strahm geering capture rene plan torture reveal happen paint fortunately von klinkerhoffen stop influential connections flick german high command airmen take balloon dress mourners fake funeral madame fanny allegedly die plague,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Leclerc Against the Wall (#5.18)}",herr flick arrest monsieur leclerc think steal money turn hasnt get money herr flick announce leclerc shoot money wont return unfortunately madame fanny burn money keep oven try cook potato actually spy camera use photograph invasion england plan meanwhile von strohm find miss land mine tell gruber talk rene case might know anything,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Michelle's Secret Love (#5.10)}",general von klinkerhoffen ask von strohm gruber know meet general someone try poison von strohm tell rene know von klinkerhoffen tell catch execute rene herr flick think big nose french collaborate general something plot poison general try find meanwhile rene want quit resistance get several disguise use avoid catch,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Missing and Presumed Dead (#9.2)}",rene keep communist resistance love slave underground hide forest meanwhile everybody think rene die windmill explosion everybody sadden officer crabtree come idea erect statue memory rene colonel gruber visit cafe find paint express sympathy agree pay statue meanwhile herr flick take bandage reveal new face rene try escape resistance,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Parade of Prams (#5.12)}",berlin blame cock concern meet german general general von klinkerhoffen decide send colonel von strohm gruber russian front von strohm gruber want flee vatican hide war need sell paint hide headquarter communist resistance tell rene get paint michelle resistance hear tell rene get paint give copy colonel gruber sell originals resistance fund,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Pretty Maids All in a Row (#3.5)}",airmen disguise waitress cafe von klinkerhoffen recognize van gogh behind rene hide fall madonna requisition take chateau along waitress thwart elaborate pantomime stag whereby men dress tarts seduce rene supposedly enrage edith shoot gun load blank corpses take alphonses funeral parlour tunnel dig connect prisoner war camp road plan hide fugitives,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Prisoners of War (#4.1)}",whilst suspicious flick henchman von smallhausen dig tunnel camp prisoners plan mass escape von strohm volunteer geering first go catapult wire spirit away woods resistance gruber dress nun order get camp free others take advantage entertainment stag dress dance girls,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Renewing the Vows (#5.24)}",monsieur alphonse ask edith marry rene hear figure hell lose cafe everything notably gold cuckoo clock decide ask edith marry say yes bertorelli cook great feast monsieur alphonse deputy mayor marry meanwhile general von klinkerhoffen suspect colonel von strohm steal gold herr flick think rene take gold herr flick tell helga use feminine charm elicit whereabouts gold rene,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {René of the Gypsies (#7.10)}",discovery gypsy fair take place annually village new resistance plan place gypsy tent grid disguise escape real gypsies cry follow bad omen rene staff take place rene fortune teller gruber come seek message renes brother side frighten sound airmen run emerge grid follow airmen return sewer sight edith flick elsa put forgery von strohms office find general,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Rising to the Occasion (#6.8)}",think hes go round twist germans call general von flockenstoffen deal von klinkerhoffen still want blow whole nouvion herr flick von smallhausen try disarm bomb sewer old flame rene plan stop germans blow town meanwhile ernest leclerc madame fanny wed marquee celebrations start resistance girls secretly work barrage balloon get british airmen back england,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Six Big Boobies (#2.1)}",rene annoy airmen return send away dress nuns instructions hide local convent edith officially widow find renes name sole beneficiary set spend money new hat attract suitors flick get gruber work art gallery identify original paint whilst nuns return end hide piano,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Swan Song (#8.7)}",rene edith get rescue shoot general von karzibrot british troop british think hitler gore arrest meanwhile everybody think rene edith death michelle take cafe madame fanny leclerc run paris renes old ice cream car colonel von strohm gruber want flee spain resistance send photo gruber paint general von klinkerhoffen go plan swap paint million francs herr flick find dogfish von smallhausen make dinner,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Airmen De-Nicked (#6.5)}",flick von smallhausen interrogate general impersonate army officer release order himmler thank helga party intelligence officer visit resistance plan hi jack car steal uniform way infiltrate chateau get airmen rene edith reluctant intelligence officer plan work fairly well couple find handcuff airmen whilst key unlock berlin,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Big Flush (#5.25)}",plan flee geneva rene yvette make wait general von klinkerhoffen order find steal enigma machine decide leave town theyll shoot michelle disguise pregnant woman order fool germans deliver rene enigma machine tell put wine barrel throw sewer whole population nouvion flush toilet time enable barrel reach canal british submarine wait enigma machine,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The British Invasion (#5.11)}",general von klinkerhoffen want continue meet general think communist resistance might want blow plan group peasants dress like general come together town square general disguise onion sellers meet cafe new group shoot british airmen come cafe disguise onion sellers meanwhile herr flick recover traction leclerc madame fanny go walk,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Crooked Fences (#6.6)}",herr flick worry career gestapo recent cock feel flee need money demand rene give paint sell von strohm gruber helga bertorelli want paint back sell escape airmen make nervous futures meanwhile crabtree reunite old love,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Duel (#2.5)}",whilst balloon ready cowardly rene try duck duel gruber love offer take place whilst von strohm geering plan kill alphonse duel take place plan thwart hitler discover paint train order flick arrest culprits flick know german officer rene therefore force take part duel,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Exploding Bedpan (#5.16)}",arrest monsieur alphonse hand gestapo interrogate colonel von strohm gruber fear might talk give away give rene suicide pill go pastry headquarter herr flick helga tell monsieur alphonse shes side forge money show hide money monsieur alphonse heart attack,0,0,0,0,0,1
