comment_text,business,sports,weather,national,international,government
sindh govt decides to cut public transport fares by 7pc kti rej,0,0,0,0,0,1
asia stocks up in new year trad,1,0,0,1,1,0
hong kong stocks open 0.66 percent lower,0,0,0,0,0,0
asian stocks sink euro near nine year ,0,0,0,0,0,1
us oil prices slip below 50 a barr,0,0,0,1,1,0
oil hits new 5.5 year lows as saudis defend ,0,0,0,0,0,0
bullish kse jumps over 33000 psychological barrier,0,0,0,0,0,0
oil falls further in asian trad,0,0,0,0,0,0
sugar prices drop to rs 49.80 in sind,0,0,0,0,0,0
oil extends losses as world bank cuts growth for,0,0,0,0,0,0
tokyo stocks open 0.74 percent lower,0,0,0,0,0,0
hong kong stocks open 0.24 percent higher,0,0,0,0,0,0
oil market rebounds on iea repor,0,0,0,1,1,0
govt may take up to ten days to overcome petrol shortag,0,0,0,0,0,0
brent crude steady around 50,0,0,0,1,1,1
report presented to pm holds ogra responsible for fuel crisi,0,0,0,0,0,0
notification issued for reduction in electricity charges for karachi nepr,0,0,0,1,0,0
asia stocks mostly higher ahead of ecb meeting,0,0,0,1,0,0
ecc approves export of 1.2 million tons of ,0,0,0,0,0,1
new saudi king seen holding line on opec policy to keep oil output hig,0,0,0,0,0,0
nepra prevents k electric from collecting meter r,0,0,0,1,0,0
finance minister apprised on pak brunei investment ,0,0,0,0,0,1
pakistan fuel crisis weighing on credit worthiness moody,0,0,0,1,1,1
petrol price expected to be slashed by rs 10 per litr,0,0,0,0,0,1
euro maintains gains asia stocks adv,0,0,0,1,1,1
oil rebounds sharply from six year lows as dollar ,0,0,0,0,0,0
sbp warns islamic banks to be more equitab,1,0,0,0,0,0
oil slumps as us crude reserves surge to record hig,0,0,0,0,0,1
finance minister announces five percent increase in gst on pol produ,0,0,0,0,0,0
us probes moodys rating agency,0,0,0,0,0,0
oil prices slide after rally,0,0,0,0,0,0
no unannounced load shedding anywhere in the country abid sher ali,0,0,0,0,0,0
oil prices extend ,0,0,0,0,0,1
pak imf talks conclude agreement for release of 518 milli,0,0,0,1,1,0
final shipment of 15 chinese engines arrives at karachi por,0,0,0,0,0,0
oil extends gains before us jobs d,0,0,0,0,0,0
contract for 650mw supply to k electric cannot be renewed ministry,0,0,0,1,0,1
tokyo stocks open up 1.09 per,0,0,0,1,1,1
january 2015 saw record sale of petrol in paki,0,0,0,0,0,1
oil prices extend gai,0,0,0,0,0,0
hsbc admits swiss bank failings over client tax,0,0,0,1,1,1
oil prices fall as iea predicts weak rebound,0,0,0,1,1,0
intra kashmir trade resumes after six day,0,0,0,0,0,0
pakistan wants early implementation of tapi project ,0,0,0,0,0,0
hotel prices skyrocket in australia ahead of world cu,0,0,0,0,0,0
nokia 215 dual sim launched in paki,0,0,1,0,0,0
cnic number now tax number only companies allowed ntn dar,0,0,0,1,0,1
govt imposes new taxes of rs4 billi,0,0,0,0,0,1
oil prices rise in asian trad,0,0,0,1,1,0
oil prices extend gai,0,0,0,0,0,0
furnace oil price rises by about rs 2000 per ,0,0,0,0,0,1
nepra notifies relief of rs 3.24 per unit for consumer,0,0,0,1,0,0
qatargas pakistan close to 15 year lng supply d,0,0,0,0,0,1
asia stocks boosted by greek debt deal ,0,0,0,0,0,1
operation zarb e azb may cost over 1.3 billion dar,0,0,0,0,0,1
oil prices fall on eve of us inventory d,0,0,0,0,0,0
apple to begin manufacturing electric vehicles as early as 2020,0,0,0,0,0,0
oil prices fall in new yor,0,0,0,0,0,0
lng import to begin from march 31 abbasi,0,0,0,0,0,1
oil prices extend slid,0,0,0,0,0,0
price of sugar decreases in karachi,0,0,0,0,0,0
oil prices rebound slightly,0,0,0,0,0,0
tokyo stocks open f,1,0,0,1,1,0
pol prices likely to go up from march 1,0,0,0,0,0,0
oil rebounds after volatile ,0,0,1,0,0,0
tajikistan to help pakistan overcome energy crisis through kasa 1000 proj,1,0,0,0,0,0
oil market recoils on oversupply,0,0,0,0,0,0
hong kong stocks open 0.70 percent higher,0,0,0,0,0,0
bill gates still the richest man in the world,1,0,0,1,0,0
pact with k electric expired govt not bound to provide power asif,0,0,0,1,0,1
oil prices rise before us jobs d,0,0,0,1,0,0
bahria town kelectric ink agreement on power plants for karachi,0,0,0,0,0,0
security situation integral in economic survey of pakistan imf,0,0,0,1,1,0
fbr moves to widen tax net but big fish yet to be caug,1,0,0,1,1,1
dollar at 12 year peak vs euro emerging markets spooked,0,0,0,0,0,0
cng stations in sindh to remain shut on thursday,0,0,0,0,0,0
oil market adv,1,0,0,0,0,0
pakistans economy improving imf,0,0,0,1,1,1
oil market drops on iea price warning,0,0,0,1,1,1
ecc approves allocation of 75pc gas from tapi to sng,0,0,0,0,0,0
us oil price hits six year ,0,0,0,1,1,0
further cut in sbp policy rate expected,1,0,0,0,0,0
us oil price nears six year ,0,0,0,0,0,1
pay raise for railways employees on card,0,0,0,0,0,1
stocks tumble as kse 100 share index drops 817 poi,0,0,0,0,0,0
oil prices extend losses in asi,0,0,0,0,0,0
dollar pressured after fed tempers interest rate ,0,0,0,1,0,0
sbp announces monetary policy 13 year low interest r,0,0,0,0,0,1
oil drops as saudi output nears record china demand worries drag,0,0,0,0,0,0
moodys upgrades pakistan bond rating,0,0,0,1,1,1
oil prices mixed in asia before us stockpiles d,0,0,0,0,0,0
first qatar lng shipment reaches karachi por,0,0,0,0,0,0
asian markets follow wall st lower after us d,1,0,0,0,0,1
oil drops after yemen inspired gai,0,0,0,0,0,0
free fall continues as kse 100 plummets 1000 poi,0,0,0,0,0,0
oil prices drop on weak demand potential iran d,0,0,0,0,0,0
petrol price goes up by rs 4 for apri,0,0,0,0,0,1
stock market regains 1100 points to recover from previous days plung,0,0,0,0,0,1
petrol price increased by rs 4 for the month of apri,0,0,0,0,0,1
china to invest in pakistans oil and gas sector,0,0,0,1,0,0
imf disburses 500mn loan tranche to paki,0,0,0,1,1,0
oil prices down in thin asian trad,0,0,0,0,0,0
haier mobile phones to launch in pakistan on april 9,0,0,0,0,0,1
global oil prices fall as iran nuclear framework reached,0,0,0,0,0,0
oil up more than 1 after saudis asia price hi,0,0,0,1,1,0
oil prices slip after iran fuelled rally,0,0,0,1,1,0
asian shares rise hong kong at seven year hig,0,0,0,1,1,0
nepra approves rs4.42 per unit decr,0,0,0,1,0,0
oil prices edge higher,0,0,0,1,1,0
govt gets 1.6 bn offer for its equity holding in hb,0,0,0,0,0,1
dar reviews supply of lng to three power plants in punjab,0,0,0,0,0,1
pakistan remittances initiative scheme receives overwhelming response dar,0,0,0,0,0,0
asia shares mostly up china data disappoi,0,0,0,0,0,0
lending to private sector falls 36pc in july apri,1,0,0,1,0,1
oil climbs for 5th day as us output edges lower,0,0,0,1,1,0
china offering pakistan huge financing chinese assistant foreign minister,0,0,0,0,0,1
asian stocks follow wall street higher,0,0,0,0,0,1
oil prices mixed after china stimulus mov,0,0,0,0,0,0
37 bn is pure chinese investment while remaining are soft loans ahsan iqb,0,0,0,0,0,1
most asian markets up tokyo at 15 year hig,1,0,0,1,1,1
oil falls as saudi led military strikes end in y,0,0,0,0,0,0
cm shahbaz hold talks with china machinery engineering corporation on energy mining sector,0,0,0,0,0,0
power generation up by 1500 mw minister for water and power,0,0,0,0,0,1
asian stocks mostly up after record on wall ,0,0,0,0,0,0
goods transport by cargo trains goes up 10 ti,0,0,0,0,0,0
petrol diesel prices expected to decrease from may 1,0,0,0,0,0,0
promotion of agriculture govts top priority finance minister,0,0,0,1,1,1
tokyo stocks open 0.49 percent higher,0,0,0,0,0,0
petrol diesel prices likely to be slashed from may 01,0,0,0,0,0,0
asian stocks dollar retreat ahead of fed meeting,0,0,0,0,0,1
maxus awarded nestle digital media planning buying accou,1,0,0,0,0,0
no change in petroleum prices next month dar,0,0,0,0,0,0
hopes and fears as milan expo opens door,1,0,0,0,0,0
oil prices firm after strong apri,0,0,0,1,1,0
gulf oil exporters should cut spending diversify imf,0,0,0,1,1,0
sp raises pakistans outlook forecasts higher gr,1,0,0,1,1,0
moratorium on kasb bank lifted amalgamated with bankislami,1,0,0,0,0,1
asian shares down as wall st tumbles on poor d,0,0,0,1,1,0
tokyo stocks open 0.90 pc lower,0,0,0,0,0,0
tokyo stocks open up 0.12 per,0,0,0,0,0,0
imf pakistan to hold final round of review on monday,0,0,0,1,1,0
pakistan to receive 7th tranche of imf bailout package by ju,0,0,0,1,1,1
gwadar port starts operations for commercial expor,0,0,0,1,1,1
kse 100 index sees sharp decline of over 1000 poi,0,0,0,0,0,0
adb to finance 6 billion in pakistan infrastructure proj,0,0,0,1,1,0
global oil prices shoot higher,0,0,0,1,1,0
oil prices edge ahead,0,0,0,1,1,0
cut in tax rate to bring positive impact on govt revenue zong ,1,0,0,0,0,1
us oil production important amid clean energy transition ob,0,0,0,1,1,0
budget to be presented on june 5 finance minister,0,0,0,1,0,1
china pm on brazil visit promising big inv,0,0,0,0,0,0
oil prices drop as saudis keep pumps running,0,0,0,1,1,0
senate passes gas infrastructure development cess bill amid pr,0,0,0,1,0,1
oil prices rebound from steep div,0,0,0,0,0,1
china brazil unveil multibillion trade investment d,0,0,0,0,0,0
pol prices expected to increase in ju,0,0,0,1,1,0
nepra approves rs1.75 per unit cut in k electric tariff,0,0,0,1,0,0
state bank cuts interest rate by 1 per,1,0,0,0,0,0
asia stocks extend gains tokyo lifted by weak y,0,0,0,0,0,0
cabinet approves budget strategy paper sour,0,0,0,0,0,0
oil market rebounds slightly,0,0,0,0,0,0
oil prices up in asian trad,0,0,0,0,0,0
petrol expected to increase by rs 6.19,0,0,0,0,0,0
despite govt announcement cng stations yet to reopen in punjab,1,0,0,0,0,1
nec approves rs 1.514 trillion for dev,0,0,0,1,0,0
sindh set to present rs700 bn budget on june 12,0,0,0,0,0,1
nepra approves electricity price decr,0,0,0,1,0,0
pm reviews power petroleum supply ahead of ramaz,0,0,0,0,0,0
pakistan economic survey growth target for 2014 15 missed,0,0,0,1,1,1
economic growth was 4.2 percent economic survey 2014 15,0,0,0,0,0,0
rs 4.313 trillion federal budget unveiled,1,0,0,1,0,1
ishaq dar says budget is poor friendly,0,0,0,0,0,1
oil down after opec meeting eyes on iran ,1,0,0,1,1,0
gulf expat workers send home 100 billion repor,0,0,0,0,0,0
moodys upgrades pakistans credit rating to b3,0,0,0,1,1,1
punjab govt presents rs 1.45tr budg,0,0,0,0,0,1
tokyo stocks open 0.24 percent higher,0,0,0,0,0,0
rs739 billion sindh budget presented,0,0,0,0,0,1
tax rate in sindh lowest among all other provinces murad ,0,0,0,0,0,0
rs488bn budget presented in kp assembly,0,1,0,0,0,1
us firm to set up 6000mw gas based power ,0,0,0,0,0,1
broadband penetration jumps to 8.34 per cent in paki,0,0,0,0,0,0
nisab i zakat deduction fixed at rs33641,0,0,0,0,0,0
rs243bn budget presented in balochistan assembly,0,0,0,1,1,1
pia slashes fares for domestic travel during ramaz,1,0,0,1,1,0
asia markets mostly lower dollar hit by dovish fed,0,0,0,0,0,0
world bank approves 188m for paki,0,0,0,0,0,1
cng stations to remain shut on 2nd consecutive day tuesday,0,0,0,0,0,0
oil prices rise with focus on greece ir,0,0,0,1,1,1
foreign exchange reserves exceed 18.20 b,0,0,0,0,0,0
rs 31.921 bn budget presented in gb legislative assembly,0,0,0,0,0,1
caa suspends air indus operations from july 1,0,0,0,0,0,0
president mamnoon signs finance bill 2015 16,0,0,0,1,0,0
asia markets rebound shanghai sees more volatility,0,0,0,0,0,1
shc dismisses caa suspension of air indus operati,0,0,0,1,0,1
greece defaults on imf deb,0,0,0,1,1,0
oil prices drop amid high us outpu,0,0,0,1,1,1
pakistan features among worlds top ten stock market performer,1,0,0,1,1,1
china stock market freezing up as sell off gathers ,0,0,0,1,0,1
imf lowers 2015 global growth forecast to 3.3%,0,0,1,1,1,0
govt agrees to bring down bank transaction tax to 0.3,0,0,0,0,0,1
fraudulent akd ppl deal caused exchequer rs500 mn loss sbr,0,0,0,1,0,1
jubilee general insurance standard chartered bank pakistan limited distribution agr,0,0,0,1,1,0
euro lifts as hopes mount for greek crisis resoluti,0,0,0,0,0,0
oil prices rise on china gr,0,0,0,1,1,1
pr slashes fares by 30pc for all passenger trains on eid,0,0,0,0,0,0
electricity prices likely to down by rs3.29 per uni,0,0,0,1,0,0
euro climbs on optimism for greek d,0,0,0,0,0,0
work to begin soon on iran pakistan pipeline abbasi,0,0,0,0,0,0
oil prices drop as dollar firms on greek bailout d,0,0,0,0,0,0
oil prices finish higher after iran d,1,0,0,1,1,0
inflation falls to decade low according to sbp report of july march fy15,0,0,0,1,1,1
fuel adjustment nepra cuts power tariff by rs2.68 per uni,0,0,0,1,0,0
google propels nasdaq to another record high ,1,0,0,0,0,0
gold prices shed rs800 to fall to new record ,0,0,0,1,1,0
asian shares mixed dollar pushes higher,0,0,0,0,0,1
oil dips on glut concerns as iran exports ,0,0,0,0,0,0
gold slides towards 5 year ,0,0,0,0,0,0
dollar takes breather after strong rally,1,0,0,0,0,1
oil prices mixed in asia wti stays below 50,0,0,0,0,0,0
asia markets mostly down shanghai up a 7th straight day,0,0,0,0,0,1
sbp maintains discount r,0,0,0,0,0,0
oil prices fall on oversupply worri,0,0,0,1,0,0
pakistan gets 336m to support forces in afghani,0,0,0,0,0,1
asian markets sink as shanghai falls further,0,0,0,0,0,1
microsoft rolls out windows 10 bid to revive gr,0,0,0,0,0,0
asian markets mostly recover from hefty sell off,0,0,0,0,0,1
govt decides to cut pol pri,0,0,0,0,0,1
caa revises airport charg,1,0,0,1,1,1
pakistans japanese dominated car market poised for new entr,1,0,0,1,1,1
pak iran gas pipeline project will not benefit from nuclear d,0,0,0,0,0,0
eu announces free trade deal with vietnam in princi,0,0,0,0,0,0
gold struggles near multi year ,0,0,0,0,0,0
one million digital paid subscriptions for nyt jump in quarterly profi,1,0,0,1,1,0
gas supply to punjab cng stations to be restored,0,0,0,0,0,0
fbr targets 1.05 million income tax returns in 2015,0,0,0,1,0,0
oil prices fall on oversupply fear,0,0,0,0,0,1
fbr announces deadlines for filing tax retur,0,0,0,1,0,1
china weakens yuan amid economic and reform b,0,0,0,0,0,0
oil prices down in asian trad,0,0,0,0,0,0
fbr makes e filing must for salaried per,0,0,0,0,0,0
oil prices slide to fresh lows in asian trad,0,0,0,1,1,0
asian shares mixed in muted trade after wall st rally,1,0,0,0,0,0
cng stations in sindh to remain closed for three days per ,0,0,0,0,0,0
oil prices slide further in asi,0,0,0,1,1,0
buzzfeed gets 200m expansion cash with nbcuniversal tie u,0,0,0,0,0,0
oil prices fall ahead of us stocks d,0,0,0,0,0,0
oil approaches key 40 lev,0,0,0,0,0,0
fbr initiates drive to ensure tax return filing by vehicle owner,0,0,0,1,0,0
rupee hits 104 at open market sbp warns money changer,0,0,0,1,0,0
investments heat up online news sector,1,0,0,0,0,0
dollar reaches 17 month high against ru,0,0,0,0,0,0
shanghai leads rout in asian ,0,0,0,1,0,0
kse down 1419 points at closing,0,0,0,0,0,0
crude extends losses us oil trades below 40,0,0,0,0,0,0
pak rupee to remain stable sb,0,0,0,1,1,0
